order_id,user_id,estimated arrival,transaction_date
0612c246-57f1-40e8-9993-0f8d41992049,USER24284,10days,2023-08-14
74e7c07a-d266-492f-a8f7-22987013d7e1,USER47513,15days,2023-10-30
4aab29ae-e610-46bf-92af-199f6f420cee,USER50778,14days,2023-09-19
89c3c238-2ae5-4883-bba5-08e23dbedee3,USER44062,8days,2023-07-11
03c25b03-a7cc-4758-8490-cdd5dd492646,USER48153,15days,2023-07-21
fd92cc32-e28e-4f14-b8f8-4526ea58fb3f,USER28561,3days,2023-11-13
425c355a-bfe4-4bff-bea5-f519cc73a1bb,USER44940,10days,2023-06-05
5310c9f0-9573-4f06-9e95-646b0d809485,USER33928,3days,2023-09-03
a0410714-4e8b-4ded-81ef-dfb7881e3225,USER32100,6days,2023-11-16
d0d34809-6960-49e2-9dbf-98f70fc760d9,USER26781,15days,2023-06-08
9d36f777-2430-480f-a90e-f33da3a2cdac,USER54730,9days,2023-07-21
2880e5ba-65ce-474e-9a16-471e5d530253,USER24651,10days,2023-10-18
78f15595-046b-40ed-a70e-a406ce5e9be5,USER31561,9days,2023-07-31
94992d62-9a24-4ba2-b8bc-cd87151ca524,USER28342,8days,2023-07-10
29b4bac9-6bef-449a-858c-1fe3d6a1dbfd,USER08020,11days,2023-06-07
8d8acbac-ccbb-4609-a978-98dee3ac3088,USER13754,9days,2023-10-11
e44efe31-3496-4ea4-8a85-b80f4480cfb3,USER02873,14days,2023-07-28
2f8a8025-775f-401a-afbd-0c2426ebf54b,USER57761,5days,2023-07-30
3577be77-3e80-48ce-8116-54108f16de57,USER03521,8days,2023-06-28
fd39ccac-c100-4779-bdd8-a194c9478f29,USER58338,8days,2023-07-12
89b5b4b5-ac81-461c-a11f-77d265202fa3,USER30211,15days,2023-10-14
6f28ecde-b4d6-4e12-a7db-f42318cb704d,USER53044,9days,2023-09-19
aae511ed-323d-450f-aaaf-ede80d2045b9,USER09223,5days,2023-06-26
f82084ae-ba46-439b-9c85-e62799520663,USER48890,4days,2023-10-15
4f21ea51-350c-4590-a774-370a4cf436d2,USER05631,13days,2023-06-15
791f9340-31cd-44f4-a956-1300319aff17,USER29621,14days,2023-10-17
c66cfea0-f746-4fe6-bd2e-55bf1d45a8ff,USER11968,7days,2023-07-30
b9a948e1-26fb-43dc-95d0-9811fbcf3671,USER04719,13days,2023-09-17
9f13b026-0ce0-4252-9206-6fdce3cc2a67,USER46598,12days,2023-10-02
e54e2e5e-7675-4b03-829b-c228a9dc7a7a,USER05538,12days,2023-08-12
48f3e715-64e3-4633-84e6-7e0e78f32fff,USER64628,14days,2023-10-24
2bed7719-82f9-4bed-8984-e8dd4397e018,USER42740,11days,2023-07-08
68bdc845-a56a-4d33-9f08-d7b9c719b4b5,USER35842,13days,2023-06-01
e8e2cd87-d631-48bc-8a5b-cc22f3e2377e,USER24838,12days,2023-09-12
2f6d8042-181b-4894-bc5e-058dca94cce3,USER61147,13days,2023-11-22
eddcf397-7c7f-440f-bdf7-eb12c1cd41e7,USER07672,13days,2023-06-12
0a1d58f0-8797-4ada-8e9e-0a20cf536ce0,USER56935,14days,2023-10-04
a1c25e9a-004a-4468-87a2-1f539dbd232d,USER06762,7days,2023-06-17
335bfcaa-be98-405a-9809-ca856b6a3574,USER26811,12days,2023-11-26
e3a8cc19-76a3-4182-8c9e-3a7adadd7895,USER59548,5days,2023-10-10
2d16a9df-4c5b-4e27-aa25-4e345531f803,USER52963,9days,2023-10-29
87b601f0-2349-4c52-a94f-d20aac0cfe58,USER26518,11days,2023-07-12
d1123d77-f42c-494b-b9e2-a659f29cdefa,USER35101,12days,2023-06-02
85bd8262-49ea-457f-9173-d45e34911ab7,USER39169,11days,2023-10-05
177e1944-e090-496a-b4d7-99f598428a2f,USER00393,12days,2023-08-29
5b00523b-39b7-415a-bca0-899c438a6bb5,USER61754,13days,2023-07-13
28b7a5eb-c271-43b3-8dff-0b579a2550ba,USER57067,8days,2023-10-21
9a5fc04d-ca7a-4801-bdbf-294d89103283,USER27040,11days,2023-08-26
6f079cdf-9950-47a0-8895-dc5e9cc8621c,USER34440,7days,2023-10-19
39df7eee-70be-48ac-8616-bb4f8a12dc0f,USER42863,10days,2023-07-03
35e42d0a-9712-4299-8e5f-ef8768459db9,USER62034,6days,2023-07-16
aa5a75ff-7def-4343-a4da-a020529207d5,USER35081,4days,2023-09-08
1af1890d-0255-4c26-8a8f-1a02f6676f08,USER37229,7days,2023-08-04
d14f5b8a-309d-4313-8da8-a144a5aeb18b,USER36312,3days,2023-06-25
e9677adf-376f-4892-82c4-5c4eb5e6255a,USER25175,15days,2023-11-07
ab2cd38d-9494-4973-9ad7-34c5a4588a14,USER48066,8days,2023-07-15
